1E BCH1A 1E Station
1E BCH2A 1E Station
1E BCH2B 1E Station
1E MONT4 1E Station
1E MONT5 1E Station
1E MONT7 1E Station
1E MONT8 1E Station
1T MTSB  MTSB
BL BEB9  FAZENDA STA BARBARA
BL BEB9A FAZENDA SANTA BARBARA - BEBEDOURO - SP
BL BEB9B FAZENDA SANTA BARBARA - BEBEDOURO - SP
BL BESB  BOA ESPERANCA - PI
BL BSCB  Bom Sucesso, MG
BL BSFB  Barra do Sao Francisco, ES
BL C2SB  Chapadao do Sul, MS
BL CAMB  Estacao CAMB, BLSP-Net
BL CANB  ITAMBARACA - PR
BL CANS  Sao Roque de Minas, MG
BL CAUB  CARUARU - PE
BL CCUB  CACU - GO
BL CDSB  FAZ RANCHO IDEAL - CHAPADAO DO SUL - MS
BL CLDB  Colider, MT
BL CNLB  Canela, RS
BL COIM  Forte Coimbra, MS
BL COR2  CALDAS NOVAS - GO
BL CORB  CALDAS NOVAS - GO
BL CPSB  Cacapava do Sul, RS
BL CRJB  CARAJAS-PA
BL CRTA  CORRENTINA - BA
BL CRTB  CORRENTINA, BA
BL CS6B  JAGUARETAMA - CE
BL DIAM  Diamantina, MG
BL ESAR  Angra dos Reis, RJ
BL FRTB  Fartura, SP
BL GNSA  GOIANESIA - GO
BL GNSB  GOIANESIA - GO
BL IBTB  Ibaiti, PR
BL IGAB  IGARATA - SP
BL IGCB  IGARAPEACU-PA
BL IPNA  IPERUNA - SP
BL ITAB  Ita, SC
BL ITPB  ITAPEBI-BA
BL ITQB  Itaqui, RS
BL ITRB  Iturama, MG
BL JATB  JATAI - GO
BL JNRB  JANUARIA - MG
BL JUQB  JUQUIA - SAO PAULO
BL MAP01 FAZENDA MODERNA - MONTE AZUL PAULISTA - SP
BL MARB  Manoel Ribas, PR
BL MCI6  Montes Claros 6, MG (Fzda Jeca Tatu)
BL MCI7  Montes Claros 7, MG (Exercito)
BL MCI8  Montes Claros 8, MG (Fzda Vitoria)
BL MCI9  Montes Claros 9, MG (Fzda MClaros)
BL NOVB  NOVA VENEZA-SC
BL NUPA  NUPORANGA - SP
BL NUPB  NUPORANGA - SP
BL PACB  PACAEMBU - SP
BL PARB  Paraibuna, SP
BL PAZB  ARUANA - GO
BL PCBA  PIRACICABA - SP
BL PCMB  Pacaembu, SP
BL PDCB  PEDRA DO CAVALO - BA
BL PEXB  Peixes, TO
BL PLTB  Pelotas/PedrasAltas, RS
BL PMNA  PATO DE MINAS - MG
BL PMNB  BL Station
BL PMNB  Patos de Minas, MG
BL POPB  PORTO PRIMAVERA - SP
BL PORB  PORANGATU - GO
BL PP1A  USINA PONTE DE PEDRA - SONORA - MS
BL PP1B  Sonora, MS
BL PRCB  PARACATU - MG
BL PTGB  Pitanga, PR
BL PTMB  PORTO MURTINHO - MS
BL RCLB  Rio Claro, SP
BL ROIB  Rosario do Ivai, PR
BL SICB  Siqueira Campos, PR
BL SJI1  Urupes, SP
BL SJMB  Sao Joao de Manteninha, MG
BL SLMB  SAO LUIS DE MONTES BELOS - GO
BL SNVB  SERRA DO NAVIO-AP
BL STMB  SANTAREM-PA
BL TLMB  Telemaco Borba, PR
BL TRCB  Terra Rica, PR
BL TRIB  Ilha Solteira, SP
BL TRMB  TRES MARIAS-MG
BL TRSB  TERESINA-PI
BL UNIA  UNAI - MG
BL VABB  BL Station
BL VABB  Valinhos, SP
BL VAO   Valinhos, SP
BR AGBLB Aguas Belas. PE
BR ARAG  Araguaiana, MT
BR BOAV  Boa Vista, RR
BR CZSB  Cruzeiro do Sul, AC
BR ETMB  Extrema, RO
BR IPMB  Ipameri, GO
BR ITTB  Itaituba, PA
BR JAN7  Januaria, MG
BR JANB  Januaria, MG
BR LABB  Labrea, AM
BR MACA  Manacapuru, AM
BR MAL2  Monte Alegre, PA
BR MALB  Monte Alegre, PA
BR MC01  Montes Claros, Brazil
BR MCPB  Macapa, AP
BR NPGB  Novo Progresso, PA
BR NTVD  Natividade, TO
BR PDRB  PT Gauchos, MT
BR PRPB  Parauapebas, PA
BR PTLB  Pontes e Lacerda, MT
BR ROSB  Rosario, MA
BR SALB  Santo Antonio do Leverger, MT
BR SALV  Santo Antonio do Leverger, MT
BR SDBA  Sao Desiderio, BA
BR SGC2  S.o Gabriel da Cachoeira, AM
BR SGCB  S.o Gabriel da Cachoeira, AM
BR SMTB  Santa Maria do Tocantins, TO
BR SNDB  Serra Nova Dourada, MT
BR TBTG  Tabatinga, AM
BR TEFE  Tefe, AM
BR TMAB  Tome-Acu,PA
BR VILB  Vilhena, RO
BS JMB   Jambol, Bulgaria, BDSN
BS PLD   Plovdiv, Bulgaria, BDSN
BS PRD   Provadia, Bulgaria, BDSN
BS PSN   Preselentzi, Bulgaria, BDSN
BV SOEP  BV Station
BV SOEV  BV Station
BW ALTM  Beilngries, Bavaria, BW-Net
BW BE1   Monatshausen,Bernried, BW-Net
BW BE2   Deixlfurt,Bernried, BW-Net
